study_id,title,action,decision,reference
S01,Literature search sandbox: a large language model that generates search queries for systematic reviews,Full Read,Included. It is the seed study.,1
B01,Using text mining for study identification in systematic reviews: a systematic review of current approaches,Title and abstract,Not included.,
B02,Deploying an interactive machine learning system in an evidence-based practice center: abstrackr,Title and abstract,Not included.,
B03,A text-mining tool generated title-abstract screening workload savings: performance evaluation versus single-human screening,Title and abstract,Not included.,
B04,Software tools to support title and abstract screening for systematic reviews in healthcare: an evaluation,Title and abstract,Not included.,
B05,CLEF eHealth 2019 - Task 2: Technology Assisted Reviews in Empirical Medicine,Title and abstract,Not included.,
B06,A novel tool that allows interactive screening of PubMed citations showed promise for the semi-automation of identification of biomedical literature,Title and abstract,Not included.,
B07,Automatically finding relevant citations for clinical guideline development,Title and abstract,Not included.,
B08,Hallucination rates and reference accuracy of ChatGPT and Bard for systematic reviews: comparative analysis,Full Read,Included,4
B09,Generating natural language queries for more effective systematic review screening prioritisation,Full Read,Included,16
B10,Chapter 4: Searching for and selecting studies,Title and abstract,Not included.,
B11,The systematic review toolbox: keeping up to date with tools to support evidence synthesis,Title and abstract,Not included.,
B12,Systematic Review Search Strategy Development Tools: A Practical Guide for Expert Searchers,Title and abstract,Not included.,
B13,Can ChatGPT write a good Boolean query for systematic review literature search?,Full Read,Included,17
B14,CLEF 2017 technologically assisted reviews in empirical medicine overview,Title and abstract,Not included.,
B15,CLEF 2018 technologically assisted reviews in empirical medicine overview,Title and abstract,Not included.,
B16,A test collection for evaluating retrieval of studies for inclusion in systematic reviews,Title and abstract,Not included.,
B17,From little things big things grow: a collection with seed studies for medical systematic review literature search,Title and abstract,Not included.,
B18,A dataset of systematic review updates,Title and abstract,Not included.,
B19,The nuts and bolts of PROSPERO: an international prospective register of systematic reviews,Title and abstract,Not included.,
B20,PROSPERO: an international register of systematic review protocols,Title and abstract,Not included.,
B21,Strategies for Improving the Lives of Women Aged 40 and Above Living With HIV/AIDS,Title and abstract,Not included.,
B22,Nonsurgical Treatments for Urinary Incontinence in Women: A Systematic Review Update,Title and abstract,Not included.,
B23,"Long-term effects on clinical event, mental health, and related outcomes of CPAP for obstructive sleep apnea: a systematic review",Title and abstract,Not included.,
B24,Management of Colonic Diverticulitis,Title and abstract,Not included.,
B25,Omega-3 fatty acids and cardiovascular disease: an updated systematic review,Title and abstract,Not included.,
B26,Venous Thromboembolism Prophylaxis in Major Orthopedic Surgery: Systematic Review Update,Title and abstract,Not included.,
B27,"Lower Limb Prostheses: Measurement Instruments, Comparison of Component Effects by Subgroups, and Long-Term Outcomes",Title and abstract,Not included.,
B28,Schedule of Visits and Televisits for Routine Antenatal Care: A Systematic Review,Title and abstract,Not included.,
B29,Treatments for Basal Cell and Squamous Cell Carcinoma of the Skin,Title and abstract,Not included.,
B30,Prehabilitation and Rehabilitation for Major Joint Replacement,Title and abstract,Not included.,
B31,Short- and Long-Term Outcomes after Bariatric Surgery in the Medicare Population,Title and abstract,Not included.,
B32,Postpartum Care up to 1 Year After Pregnancy: A Systematic Review and Meta-Analysis,Title and abstract,Not included.,
B33,"Management of primary headaches during pregnancy, postpartum, and breastfeeding: a systematic review",Title and abstract,Not included.,
B34,Tympanostomy Tubes in Children with Otitis Media,Title and abstract,Not included.,
B35,Postpartum home blood pressure monitoring: a systematic review,Title and abstract,Not included.,
B36,Interventions for Substance Use Disorders in Adolescents: A Systematic Review,Title and abstract,Not included.,
B37,Aspirin Use to Prevent Cardiovascular Disease and Colorectal Cancer: An Evidence Update for the U.S. Preventive Services Task Force,Title and abstract,Not included.,
